1;2806.00;9.85;1577.00;big
1;2794.00;10.43;1553.00;big
2;2762.00;10.78;1616.00;big
2;2786.00;10.20;1604.00;big
3;2741.00;11.82;1650.00;big
3;2726.00;13.20;1685.00;big
4;2698.00;10.03;1611.00;big
4;2670.00;10.25;1581.00;big
5;2872.00;9.75;1534.00;big
5;2891.00;11.70;1526.00;big
6;2961.00;9.70;1577.00;big
6;2931.00;10.28;1563.00;big
7;2961.00;10.40;1510.00;big
7;2993.00;11.28;1483.00;big
8;2987.00;10.05;1552.00;big
8;3014.00;9.95;1577.00;big
9;3099.00;9.98;1685.00;big
9;3137.00;9.50;1742.00;big
10;3047.00;10.10;1714.00;big
10;3026.00;10.38;1661.00;big
11;2971.00;12.70;1794.00;big
11;2932.00;14.12;1735.00;big
12;3325.00;9.98;1879.00;big
12;3243.00;10.70;1923.00;big
13;3184.00;9.50;1779.00;big
13;3259.00;9.73;1794.00;big
14;3902.00;9.70;1678.00;big
14;3787.00;10.40;1688.00;big
16;2776.00;9.70;1756.00;big
16;2821.00;9.50;1650.00;big
17;3466.00;10.70;831.00;big
17;3436.00;10.80;699.00;big
18;2764.00;9.50;1506.00;big
18;2837.00;9.50;1555.00;big
19;2846.00;10.40;1511.00;big
19;2854.00;10.00;1469.00;big
20;2860.00;13.20;1410.00;big
20;2896.00;10.48;1418.00;big
21;2939.00;9.85;1427.00;big
21;2985.00;9.88;1427.00;big
22;3095.00;9.90;1487.00;big
22;3136.00;10.07;1490.00;big
23;3056.00;13.00;1326.00;big
23;3003.00;10.45;1370.00;big
24;3074.00;10.90;1416.00;big
24;3130.00;14.43;1368.00;big
25;3224.00;9.75;1347.00;big
25;3152.00;10.45;1312.00;big
26;3240.00;9.90;1450.00;big
26;3200.00;10.05;1407.00;big
27;3170.00;15.30;1452.00;big
27;3105.00;9.80;1458.00;big
28;3482.00;9.80;1213.00;big
28;3356.00;11.23;1171.00;big
29;3029.00;9.50;1248.00;big
29;3121.00;9.50;1237.00;big
30;3260.00;9.50;1382.00;big
30;3359.00;9.50;1389.00;big
31;4044.00;10.12;936.00;big
31;4025.00;10.57;831.00;big
32;1245.00;9.50;119.00;big
32;1155.00;9.50;410.00;big
33;376.00;9.95;1930.00;big
33;633.00;9.50;1954.00;big
34;1544.00;9.70;1006.00;big
34;1458.00;9.50;1066.00;big
35;1893.00;9.75;382.00;big
35;1762.00;10.57;245.00;big
36;2004.00;11.53;1992.00;big
36;2157.00;11.35;1948.00;big
37;3209.00;10.28;1701.00;big
37;3190.00;9.75;1663.00;big
38;3119.00;9.88;1562.00;big
38;3133.00;11.73;1519.00;big
39;3190.00;10.60;1521.00;big
39;3188.00;9.80;1568.00;big
40;3555.00;9.82;1652.00;big
40;3644.00;9.80;1677.00;big
41;2684.00;12.82;1341.00;big
41;2686.00;11.93;1377.00;big
42;2735.00;9.50;1437.00;big
42;2702.00;9.50;1413.00;big
43;2641.00;9.50;1524.00;big
43;2610.00;9.50;1665.00;big
44;2294.00;9.50;1931.00;big
44;2414.00;9.50;1852.00;big
45;2650.00;9.50;1933.00;big
45;2877.00;9.50;1939.00;big
46;3186.00;9.50;2023.00;big
46;3464.00;9.50;1939.00;big
47;2532.00;9.50;1241.00;big
47;2588.00;9.50;1347.00;big
48;2527.00;9.50;1047.00;big
48;2616.00;9.50;1172.00;big
49;2431.00;9.50;1506.00;big
49;2307.00;9.50;1671.00;big
50;2078.00;9.50;1765.00;big
50;1867.00;9.50;1978.00;big
51;2321.00;9.50;1332.00;big
51;2191.00;9.50;1473.00;big
52;1363.00;9.50;1299.00;big
52;1330.00;9.50;1194.00;big
53;1606.00;9.50;1175.00;big
53;1848.00;9.50;1095.00;big
54;1701.00;9.50;1492.00;big
54;1778.00;9.50;1570.00;big
55;1822.00;9.73;1729.00;big
55;1868.00;9.50;1583.00;big
56;2089.00;9.50;1303.00;big
56;2034.00;9.50;1461.00;big
57;1863.00;9.50;1433.00;big
57;1804.00;9.50;1309.00;big
58;2265.00;9.50;1153.00;big
58;2355.00;9.50;1038.00;big
59;2001.00;9.50;1114.00;big
59;2087.00;9.50;952.00;big
60;3782.00;9.50;509.00;big
60;3854.00;9.50;724.00;big
61;2491.00;9.50;826.00;big
61;2296.00;9.50;872.00;big
62;2874.00;9.50;404.00;big
62;2696.00;9.50;581.00;big
63;1844.00;9.50;81.00;big
63;1619.00;9.50;96.00;big
64;2025.00;9.50;104.00;big
64;2338.00;9.50;117.00;big
65;3300.00;9.50;58.00;big
65;3028.00;9.50;119.00;big
66;2433.00;9.50;538.00;big
66;2210.00;9.50;377.00;big
67;2853.00;9.50;100.00;big
67;2649.00;9.50;149.00;big
68;2795.00;9.50;1263.00;big
68;2874.00;9.50;1316.00;big
69;3228.00;9.50;1207.00;big
69;3318.00;11.05;1229.00;big
70;3618.00;9.50;1344.00;big
70;3599.00;9.50;1431.00;big
71;4072.00;9.50;529.00;big
71;4264.00;9.50;570.00;big
72;4348.00;9.50;738.00;big
72;4474.00;9.50;653.00;big
73;4412.00;9.50;798.00;big
73;4410.00;9.50;754.00;big
74;4184.00;9.50;93.00;big
74;4117.00;9.50;288.00;big
75;4634.00;9.50;919.00;big
75;4532.00;9.50;768.00;big
76;4819.00;9.50;1117.00;big
76;4701.00;10.78;1045.00;big
77;4712.00;9.50;1191.00;big
77;4725.00;9.50;1289.00;big
78;4879.00;9.50;937.00;big
78;4871.00;9.50;789.00;big
79;4908.00;9.50;1320.00;big
79;5006.00;9.50;1471.00;big
80;4689.00;9.50;798.00;big
80;4703.00;9.50;711.00;big
81;5236.00;9.50;355.00;big
81;5096.00;9.50;419.00;big
82;4995.00;9.50;482.00;big
82;4959.00;9.50;401.00;big
83;5421.00;9.50;360.00;big
83;5280.00;9.50;520.00;big
84;5019.00;9.50;739.00;big
84;5173.00;10.25;600.00;big
85;3617.00;9.50;169.00;big
85;3870.00;9.50;200.00;big
86;5519.00;9.50;154.00;big
86;5251.00;9.50;123.00;big
87;5096.00;9.50;1464.00;big
87;5132.00;9.50;1655.00;big
88;5500.00;9.50;1730.00;big
88;116.00;9.50;1877.00;big
89;829.00;9.50;1528.00;big
89;901.00;9.50;1366.00;big
90;4942.00;9.50;1182.00;big
90;5058.00;9.50;1292.00;big
91;4824.00;9.50;499.00;big
91;4883.00;9.50;543.00;big
92;4634.00;9.50;393.00;big
92;4734.00;9.50;449.00;big
93;4773.00;9.50;618.00;big
93;4677.00;14.18;606.00;big
94;5027.00;10.10;1061.00;big
94;5127.00;9.50;921.00;big
